,Index,Date,Content,Company,Sentiment analysis,Score
326,70407,2024-11-01 15:16:00,Корекција. Напоменуваме дека во предходната објава како предходен период се земени податоци со 31.12.2023,Fabrika Karposh AD Skopje,Positive,0.51
327,70406,2024-11-01 15:15:14,Корекција. Напоменуваме дека во предходната објава како предходен период се земени податоци со 31.12.2023,Fabrika Karposh AD Skopje,Positive,0.51
344,70386,2024-11-01 08:29:00,Неревидиран биланс на успех за квартак 3 2024 година,Fabrika Karposh AD Skopje,Positive,0.5
328,70404,2024-11-01 14:06:00,Образложение со 30.09.24- Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.51
329,70403,2024-11-01 14:06:00,Неревидиран биланс на успех 01.01-30.09.24 - Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.51
333,70399,2024-11-01 14:05:01,Образложение со 30.09.24- Корекција,SN Osiguritelen Broker AD Bitola,Positive,0.51
332,70400,2024-11-01 14:06:00,Направена е корекција во реден бр.15 -Амортизација на материјални и нематријални средства,Dimko Mitrev AD Veles,Positive,0.52
335,70397,2024-11-01 14:05:00,Направена е корекција во реден бр.15 -Амортизација на материјални и нематријални средства,Dimko Mitrev AD Veles,Positive,0.52
408,70313,2024-10-31 14:07:00,,Dimko Mitrev AD Veles,,
345,70385,2024-11-01 08:29:00,Неревидиран биланс за успех за период од 01.01.2024 до 30.09.2024,Agromehanika AD Skopje,Positive,0.5
347,70383,2024-11-01 08:28:09,Неревидиран биланс за успех за период од 01.01.2024 до 30.09.2024,Agromehanika AD Skopje,Positive,0.5
352,70372,2024-10-31 15:47:00,Согласно глава 6 од Правилата за котација известуваме за следната ценовно чувствителна информација,Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.52
353,70371,2024-10-31 15:47:00,"Согласно глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај",Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.51
355,70369,2024-10-31 15:46:45,Согласно глава 6 од Правилата за котација известуваме за следната ценовно чувствителна информација,Patnichki soobrakjaj - Transkop AD Bitola,Positive,0.52
376,70347,2024-10-31 14:31:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.53
377,70346,2024-10-31 14:31:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.53
419,70301,2024-10-31 14:30:00,ОКТА АД - Скопје објавува:,OKTA AD Skopje,Positive,0.53
380,70343,2024-10-31 14:23:00,ОБРАЗЛОЖЕНИЕ КОН БИЛАНСОТ НА УСПЕХ 01.01.2024-30.09.2024,GD Tikvesh AD Kavadarci,Positive,0.52
381,70342,2024-10-31 14:23:00,НЕРЕВИДИРАН БИЛАНС НА УСПЕХ 01.01.2024-.30.09.2024,GD Tikvesh AD Kavadarci,Positive,0.52
387,70336,2024-10-31 14:22:38,ОБРАЗЛОЖЕНИЕ КОН БИЛАНСОТ НА УСПЕХ 01.01.2024-30.09.2024,GD Tikvesh AD Kavadarci,Positive,0.52
383,70340,2024-10-31 14:20:00,Неревидирани финансиски извештаи за период од 01.01.2024г. до 30.09.2024г. ;,Slavej AD Skopje,Positive,0.51
384,70339,2024-10-31 14:20:00,Неревидирани финансиски извештаи за период од 01.01.2024г. до 30.09.2024г.,Slavej AD Skopje,Positive,0.51
396,70326,2024-10-31 14:19:55,Неревидирани финансиски извештаи за период од 01.01.2024г. до 30.09.2024г. ;,Slavej AD Skopje,Positive,0.51
385,70338,2024-10-31 14:19:00,Образложение кон резултатот од работењето во периодот од 01.01. до 30.09.2024год.,Kristal 1923 AD Veles,Positive,0.5
386,70337,2024-10-31 14:19:00,Неребиланс на успех 01.01.-30.09.2024година,Kristal 1923 AD Veles,Positive,0.51
397,70324,2024-10-31 14:18:55,Образложение кон резултатот од работењето во периодот од 01.01. до 30.09.2024год.,Kristal 1923 AD Veles,Positive,0.5
405,70316,2024-10-31 14:07:00,Неревидиран биланс на успех за Теал АД Тетово 01.01-30.09.2024,TEAL AD Tetovo,Positive,0.52
416,70304,2024-10-31 14:06:00,Неревидиран биланс на успех за Теал АД Тетово 01.01-30.09.2024,TEAL AD Tetovo,Positive,0.52
430,70287,2024-10-31 09:53:00,Коментар кон БУ 30.09.2024,Interneshnel Hotels AD Skopje,Positive,0.52
431,70286,2024-10-31 09:52:40,Коментар кон БУ 30.09.2024,Interneshnel Hotels AD Skopje,Positive,0.52
432,70284,2024-10-31 09:30:00,,Interneshnel Hotels AD Skopje,,
433,70283,2024-10-31 15:55:00,Non-audited profit&amp;loss account 01.01.-30.09.2024,Mermeren kombinat AD Prilep,Positive,0.52
434,70282,2024-10-31 15:55:00,Неревидирани финансиски извештаи 01.01. - 30.09.2024,Mermeren kombinat AD Prilep,Positive,0.51
436,70280,2024-10-31 09:24:00,Други ценовно чувствителни информации,Trgotekstil maloprodazhba AD Skopje,Positive,0.51
437,70279,2024-10-31 09:24:00,Неревидиран биланс на успех 01.01.-30.09.2024,Trgotekstil maloprodazhba AD Skopje,Positive,0.51
438,70278,2024-10-31 09:23:35,Други ценовно чувствителни информации,Trgotekstil maloprodazhba AD Skopje,Positive,0.51
440,70276,2024-10-31 09:01:00,Образложение кон Билансот на успех,Ugotur AD Skopje,Positive,0.52
441,70275,2024-10-31 09:01:00,Неревидиран биланс на успех за период 01.01.-30.09.2024г.,Ugotur AD Skopje,Positive,0.5
454,70262,2024-10-31 09:00:03,Образложение кон Билансот на успех,Ugotur AD Skopje,Positive,0.52
442,70274,2024-10-31 09:01:00,,Hoteli-Metropol AD Ohrid,,
443,70273,2024-10-31 09:01:00,,Hoteli-Metropol AD Ohrid,,
457,70259,2024-10-31 09:00:02,,Hoteli-Metropol AD Ohrid,,
444,70272,2024-10-31 09:01:00,,Lotarija na Makedonija AD Skopje,,
445,70271,2024-10-31 09:01:00,,Lotarija na Makedonija AD Skopje,,
446,70270,2024-10-31 09:01:00,Образложение кон финансиските извештаи 01.01-30.09.2024 година,Lotarija na Makedonija AD Skopje,Positive,0.51
447,70269,2024-10-31 08:47:00,БИМ а.д. Свети Николе го објавува Образложението за остварените резултати од работењето за периодот од 01.01- 30.09.2024 год.,BIM AD Sveti Nikole,Positive,0.51
448,70268,2024-10-31 08:43:00,БИМ а.д. Свети Николе го објавува неревидираниот биланс на успех за периодот од 01.01 до 30.09.2024 год.,BIM AD Sveti Nikole,Positive,0.51
451,70265,2024-10-31 08:46:50,БИМ а.д. Свети Николе го објавува Образложението за остварените резултати од работењето за периодот од 01.01- 30.09.2024 год.,BIM AD Sveti Nikole,Positive,0.51
449,70267,2024-10-31 08:43:00,,RZH Tehnichka kontrola AD Skopje,,
472,70244,2024-10-31 08:42:05,,RZH Tehnichka kontrola AD Skopje,,
458,70258,2024-10-31 09:05:00,Makedonski Telekom AD Skopje publishes the explanation on the operation for the period January - September 2024.,Makedonski Telekom AD Skopje,Positive,0.52
460,70256,2024-10-31 09:05:00,Makedonski Telekom AD Skopje publishes the unaudited Income Statement for the period January - September 2024.,Makedonski Telekom AD Skopje,Positive,0.52
463,70253,2024-10-31 09:05:00,Македонски Телеком АД Скопје го објавува oбразложението за работењето за периодот јануари - септември 2024 година.,Makedonski Telekom AD Skopje,Positive,0.52
480,70235,2024-10-30 15:05:00,"<strong>NOTICE</strong> ;According to Article 69 from the Statute of Komercijalna Banka AD Skopje, at a meeting held on 30.10.2024, the Supervisory Board of the Bank passed a Decision to include part of the current profit for the period 01.01-30.09.2024 in the calculation of the common equity tier 1 capital of Komercijalna Banka AD Skopje. The estimated amount of the current profit of 1,676,279 thousand denars is determined in accordance with the Decision on the methodology for calculation of the capital adequacy (""Official Gazette of the Republic of Macedonia"" No.47/12, 50/13, 71/14, 223/15, 218/16 and 221/18 and ""Official Gazette of the Republic of North Macedonia"" No.181/19, 116/20, 167/20 and 27/24) and will be included only in the calculation of own funds as at 31.12.2024, upon obtaining consent by NBRNM. The final proposal for allocation of the profit for 2024 will be passed by the Supervisory Board of the Bank no later than February 2025, and the Shareholders Assembly of Komercijalna Banka AD Skopje will decide on the proposal at the meeting that will be held in accordance with the provisions of the Law on Trade Companies. ;The necessary increase of the common equity tier 1 capital of Komercijalna Banka AD Skopje is for purposes of supporting the dynamic credit growth during 2024 due to the Bank's effort to maintain its market position in conditions of increased competitive pressures, and continuous increase of the total capital requirements prescribed by NBRNM.",Komercijalna Banka AD Skopje,Positive,0.51
481,70234,2024-10-30 15:05:00,"<strong>ИЗВЕСТУВАЊЕ</strong> ;Врз основа на член 69 од Статутот на Комерцијална банка АД Скопје, Надзорниот одбор на Банката на седницата одржана на ден ;30.10.2024 година, донесе Одлука за ;вклучување на дел од тековната добивка за периодот 01.01-30.09.2024 година во пресметката на редовниот основен капитал на Комерцијална банка АД Скопје.Предвидениот износ од тековната добивка ;од 1.676.279 илјади денари е утврден во согласност со Одлуката за методологијата за пресметка на адекватноста на капиталот („Службен весник на Република Македонија“ бр. 47/12, 50/13, 71/14, 223/15, 218/16 и 221/18 и „Службен весник на Република Северна Македонија“ бр. 181/19, 116/20, 167/20 и 27/24) и ;ќе се вклучи единствено во пресметката на сопствените средства со состојба 31.12.2024 година, по добиена согласност од НБРСМ. Конечниот предлог за распределба на добивката за 2024 година ќе се донесе од Надзорниот одбор на Банката ;најдоцна до февруари 2025 година и за предлогот ќе одлучува Собранието на акционери на Комерцијална банка АД Скопје на седницата која ќе се одржи ;во согласност со ;одредбите од ;Законот за трговски друштва. ;Потребното зголемување на редовниот основен капитал на Комерцијална банка АД Скопје е во насока на поддршка на динамичниот кредитен раст во текот на 2024 година заради настојувањето Банката да ја задржи својата пазарна позиција во услови на зголемени конкурентски притисоци и континуираното зголемување на вкупните капитални барања пропишани од НБРСМ.",Komercijalna Banka AD Skopje,Positive,0.52
482,70233,2024-10-30 15:00:00,Komercijalna Banka AD Skopje publishes the Comments on the unaudited (unconsolidated) Income Statement ;and Balance Sheet for the period 01.01 – 30.09 2024.,Komercijalna Banka AD Skopje,Positive,0.51
494,70221,2024-10-30 14:11:00,Неревидиран Биланс на успех  ; 01.01-30.09,Angropromet Tikveshanka AD Kavadarci,Positive,0.52
495,70220,2024-10-30 14:11:00,Образложение на биланс  ;на успех,Angropromet Tikveshanka AD Kavadarci,Positive,0.51
515,70197,2024-10-30 14:10:01,Образложение на биланс  ;на успех,Angropromet Tikveshanka AD Kavadarci,Positive,0.51
498,70217,2024-10-30 14:11:00,Неревидиран биланс на успех 01.01.-30.09.2024 Стокопромет АД,Stokopromet AD Skopje,Positive,0.5
513,70199,2024-10-30 14:10:00,Неревидиран биланс на успех 01.01.-30.09.2024 Стокопромет АД,Stokopromet AD Skopje,Positive,0.5
499,70216,2024-10-30 14:11:00,bilans na uspeh od 01.01.2024 do 30.09.2024,Rudnici Banjani AD Skopje,Positive,0.51
514,70198,2024-10-30 14:10:00,bilans na uspeh od 01.01.2024 do 30.09.2024,Rudnici Banjani AD Skopje,Positive,0.51
503,70212,2024-10-30 14:06:00,НЕРЕВИДИРАН БИЛАНС НА УСПЕХ 01.01-30.09 НА ВЕТЕКС АД,Veteks AD Veles,Positive,0.51
504,70211,2024-10-30 14:06:00,ОБРАЗЛОЖЕНИЕ ЗА РЕЗУЛТАТИТЕ ОД РАБОТЕЊЕТО НА ВЕТЕКС АД ОД 01.01.-30.09.2024,Veteks AD Veles,Positive,0.53
518,70192,2024-10-30 14:05:02,ОБРАЗЛОЖЕНИЕ ЗА РЕЗУЛТАТИТЕ ОД РАБОТЕЊЕТО НА ВЕТЕКС АД ОД 01.01.-30.09.2024,Veteks AD Veles,Positive,0.53
507,70208,2024-10-30 14:06:00,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај:Неревидиран, неконсолидиран, Биланс на успех за период 01.01.2024-30.09.2024",Makoteks AD Skopje,Positive,0.52
523,70185,2024-10-30 14:05:01,"Согласно Глава 6 од Правилата за котација, го објавуваме следниот финансиски извештај:Неревидиран, неконсолидиран, Биланс на успех за период 01.01.2024-30.09.2024",Makoteks AD Skopje,Positive,0.52
508,70207,2024-10-30 14:06:00,,Zhito Luks AD Skopje,,
509,70206,2024-10-30 14:06:00,Неревидиран биланс на успех за период 01.01-30.09.2024,Zhito Luks AD Skopje,Positive,0.51
519,70191,2024-10-30 14:05:00,,Zhito Luks AD Skopje,,
528,70180,2024-10-30 09:31:00,Образложение на резултатите за период 01.01-30.09/2024 АД ЕВРОПА СКОПЈЕ,Evropa AD Skopje,Positive,0.51
529,70179,2024-10-30 09:31:00,Неревидиран биланс на успех за период 01.01-30.09/2024 АД ЕВРОПА СКОПЈЕ,Evropa AD Skopje,Positive,0.51
543,70164,2024-10-30 09:30:00,Образложение на резултатите за период 01.01-30.09/2024 АД ЕВРОПА СКОПЈЕ,Evropa AD Skopje,Positive,0.51
530,70178,2024-10-30 09:26:00,Неревидиран биланс на успех 01.01.-30.09.,MZT Pumpi AD Skopje,Positive,0.51
531,70177,2024-10-30 09:25:02,Неревидиран биланс на успех 01.01.-30.09.,MZT Pumpi AD Skopje,Positive,0.51
535,70173,2024-10-30 09:06:00,Стопанска банка АД Скопје објавува анализа кон неревидираните финансиски извештаи за периодот од 01.01. - 30.09.2024 година:,Stopanska banka AD Skopje,Positive,0.53
536,70172,2024-10-30 09:06:00,Стопанска банка АД Скопје ги објавува неревидираните (неконсолидирани) финансиски извештаи за периодот 01.01.-30.09.2024 година:,Stopanska banka AD Skopje,Positive,0.53
538,70170,2024-10-30 09:05:50,Стопанска банка АД Скопје објавува анализа кон неревидираните финансиски извештаи за периодот од 01.01. - 30.09.2024 година:,Stopanska banka AD Skopje,Positive,0.53
539,70169,2024-10-30 09:01:00,,Zhito Karaorman AD Kichevo,,
540,70168,2024-10-30 09:01:00,,Zhito Karaorman AD Kichevo,,
542,70165,2024-10-30 09:00:26,,Zhito Karaorman AD Kichevo,,
554,70151,2024-10-29 14:12:00,Извештај кон неревидиран билан на успех за период 01.01.2024- 30.09.2024,Klanica so ladilnik AD Strumica,Positive,0.5
555,70150,2024-10-29 14:12:00,Неревидиран билан на успех  ;01.01.-30.09.2024,Klanica so ladilnik AD Strumica,Positive,0.51
572,70133,2024-10-29 14:11:00,Извештај кон неревидиран билан на успех за период 01.01.2024- 30.09.2024,Klanica so ladilnik AD Strumica,Positive,0.5
556,70149,2024-10-29 14:12:00,,RZH Uslugi AD Skopje,,
557,70148,2024-10-29 14:12:00,,RZH Uslugi AD Skopje,,
558,70147,2024-10-29 14:12:00,,RZH Uslugi AD Skopje,,
582,70121,2024-10-29 09:21:00,Неревидиран биланс на успех за период 01.01-30.09.2024 ;,Grozd AD Strumica,Positive,0.51
583,70120,2024-10-29 09:20:20,Неревидиран биланс на успех за период 01.01-30.09.2024 ;,Grozd AD Strumica,Positive,0.51
584,70119,2024-10-29 08:55:00,Образложение кон резултати 01.01.-30.09.2024,Fustelarko Borec AD Bitola,Positive,0.51
585,70118,2024-10-29 08:55:00,Нереведиран биланс на успех 01.01.-30.09.24,Fustelarko Borec AD Bitola,Positive,0.51
587,70116,2024-10-29 08:54:46,Образложение кон резултати 01.01.-30.09.2024,Fustelarko Borec AD Bitola,Positive,0.51
593,70106,2024-10-28 15:02:00,Неревидиран консолидиран биланс на успех за период 01.01.-30.09.2024,Makoshped AD Skopje,Positive,0.5
594,70105,2024-10-28 15:02:00,Неревидиран биланс на успех за период  ;01.01.-30.09.2024,Makoshped AD Skopje,Positive,0.51
595,70104,2024-10-28 15:02:00,Образложение кон финансиските извештаи за период 01.01.-30.09.2024,Makoshped AD Skopje,Positive,0.51
604,70094,2024-10-28 14:06:00,"Неревидиран биланс на успех 01,01,2024-30,09,2024",Sigurnosno staklo AD Prilep,Positive,0.51
611,70082,2024-10-28 14:05:00,"Неревидиран биланс на успех 01,01,2024-30,09,2024",Sigurnosno staklo AD Prilep,Positive,0.51
614,70079,2024-10-28 09:33:00,<strong>Неревидиран биланс на успех 01.01. - 30.09.2024</strong>,DS Smith AD Skopje,Positive,0.52
615,70078,2024-10-28 09:32:56,<strong>Неревидиран биланс на успех 01.01. - 30.09.2024</strong>,DS Smith AD Skopje,Positive,0.52
616,70077,2024-10-28 09:11:00,"Образложение за настанатите значајни промени во неревидираниот, консолидираниот Биланс на успех за периодот 01.01.-30.09.2024 година.",Ading AD Skopje,Positive,0.5
617,70076,2024-10-28 09:11:00,"Неревидиран, консолидиран Биланс на успех за периодот 01.01.-30.09.2024 година.",Ading AD Skopje,Positive,0.51
618,70075,2024-10-28 09:10:53,"Образложение за настанатите значајни промени во неревидираниот, консолидираниот Биланс на успех за периодот 01.01.-30.09.2024 година.",Ading AD Skopje,Positive,0.5
632,70061,2024-10-25 14:57:00,Образложение кон остварениот финансиски резултат на Стопанска банка а.д. Битола за периодот 1.1. - 30.9.2024 година.,Stopanska banka AD Bitola,Positive,0.51
633,70060,2024-10-25 14:57:00,Неревидирани финансиски извештаи на Стопанска банка а.д. Битола за периодот 1.1. - 30.9.2024 година.,Stopanska banka AD Bitola,Positive,0.51
634,70059,2024-10-25 14:56:39,Образложение кон остварениот финансиски резултат на Стопанска банка а.д. Битола за периодот 1.1. - 30.9.2024 година.,Stopanska banka AD Bitola,Positive,0.51
